,Filename,Scene ID,Total intensity LNP in entire img,Total intensity nucleus in entire img,Total intensity membrane in entire img,Intensity LNP in membrane mask,Intensity LNP in nucleus mask,Intensity LNP per membrane count,Intensity LNP per nucleus count,Frac intensity LNP in membrane mask over img,Frac intensity LNP in nucleus mask over img,Intensity LNP in membrane inner mask,Intensity LNP in membrane outer mask,Frac intensity LNP in membrane inner mask over membrane mask,Frac intensity LNP in membrane outer mask over membrane mask,Membrane count,Nucleus count
71,exp_6_cellonly_A2M.czi,11,473804,17086105,11975012,72906,43923,3471.714285714286,1909.695652173913,0.15387375370406328,0.09270288980253438,59108,13798,0.8107426000603517,0.18925739993964832,21,23
72,exp_7_LNP_CR.czi,0,3511068,93213379,20993968,1964891,1128594,130992.73333333334,29699.842105263157,0.5596277258087853,0.3214389467820048,1797411,167480,0.9147637197177859,0.08523628028221412,15,38
73,exp_7_LNP_CR.czi,1,3119460,100086332,18247201,1345272,642878,67263.6,24726.076923076922,0.4312515627704795,0.20608630981003123,1216820,128452,0.9045159640578262,0.09548403594217378,20,26
74,exp_7_LNP_CR.czi,2,3420860,59964721,12560640,1217725,582377,60886.25,22399.115384615383,0.3559704284887426,0.170242862905819,1104531,113194,0.9070446939990556,0.09295530600094438,20,26
75,exp_7_LNP_CR.czi,3,3196746,61171131,23314506,1423223,831112,59300.958333333336,25185.21212121212,0.44520991032756435,0.259986874152654,1245076,178147,0.8748284703099936,0.12517152969000642,24,33
76,exp_7_LNP_CR.czi,4,2720375,71182961,22968920,911119,492634,43386.619047619046,19705.36,0.33492404539815285,0.1810904746588246,781817,129302,0.8580843995131262,0.14191560048687382,21,25
77,exp_7_LNP_CR.czi,5,2406112,51358885,15781506,752967,437738,47060.4375,19897.18181818182,0.31293929792129377,0.1819275245707598,650378,102589,0.8637536571987883,0.13624634280121173,16,22
78,exp_7_LNP_CR.czi,6,3265441,51337354,20273030,878368,872859,46229.89473684211,26450.272727272728,0.26898908906943964,0.26730202750562637,775870,102498,0.8833085904768844,0.1166914095231156,19,33
79,exp_7_LNP_CR.czi,7,2523553,52159324,16855809,564114,309704,47009.5,16300.21052631579,0.2235395888257548,0.12272537965321116,495349,68765,0.8781008803185172,0.12189911968148281,12,19
80,exp_7_LNP_CR.czi,8,2253021,28868995,14603550,516221,413933,28678.944444444445,19711.095238095237,0.2291239185076393,0.18372354274549593,417540,98681,0.80883962488934,0.19116037511065997,18,21
81,exp_7_LNP_CR.czi,9,3308817,33956718,25101336,1259484,1000181,78717.75,41674.208333333336,0.38064480447241417,0.30227752093875243,1051392,208092,0.8347799575064074,0.16522004249359262,16,24
82,exp_7_LNP_CR.czi,10,2525645,31540655,21257869,633540,460578,37267.05882352941,28786.125,0.25084285400363077,0.18236054552401465,537078,96462,0.8477412633772138,0.15225873662278624,17,16
83,exp_7_LNP_CR.czi,11,2352369,11075694,12640753,464191,503132,27305.352941176472,20125.28,0.1973291605186091,0.21388311102552363,387073,77118,0.8338658009310822,0.16613419906891774,17,25
