,Filename,Scene ID,Total LNP intensity in entire img,Total lysosome intensity in entire img,Total nucleus intensity in entire img,LNP intensity in nucleus mask,LNP intensity in lysosome mask,LNP intensity in lysosome mask per nucleus count,Frac LNP intensity in lysosome mask over LNP intensity in nucleus mask,Frac LNP intensity in lysosome mask over total LNP intensity,Lysosome mask count,Nucleus count
163,exp14_LNP_np.czi,7,804006,4594998,16801763,9123,1068,97.0909090909091,0.1170667543571193,0.0013283482959082,78,11
164,exp14_LNP_np.czi,8,1055993,2823890,2826701,65500,0,0.0,0.0,0.0,0,1
165,exp14_LNP_np.czi,9,1115229,7072352,29493860,34777,9221,400.9130434782609,0.2651465048739109,0.0082682570126852,248,23
166,exp14_LNP_np.czi,10,948978,5847793,14512422,32159,13654,1050.3076923076924,0.4245778786653814,0.0143881101563998,135,13
167,exp14_LNP_np.czi,11,1348666,3017870,5426100,133712,0,0.0,0.0,0.0,0,2
168,exp15_LNP_APOE.czi,0,2424688,4758565,20869549,214701,22870,1143.5,0.1065202304600351,0.0094321413724157,103,20
169,exp15_LNP_APOE.czi,1,1669836,2724142,4902103,206913,211,52.75,0.0010197522630284,0.0001263597143671,3,4
170,exp15_LNP_APOE.czi,2,1369921,3040165,4203988,24154,1428,476.0,0.059120642543678,0.0010423958753825,7,3
171,exp15_LNP_APOE.czi,3,2929397,5475964,22003755,400996,48761,2566.3684210526317,0.1215997167054035,0.0166454051806566,120,19
172,exp15_LNP_APOE.czi,4,4005557,6746504,31660299,348461,45058,1733.0,0.129305718573958,0.0112488725038739,240,26
173,exp15_LNP_APOE.czi,5,2008465,3011363,6762867,307720,4661,1165.25,0.0151468867801897,0.0023206777315014,20,4
174,exp15_LNP_APOE.czi,6,3614512,5030410,23501486,918998,19573,978.65,0.0212981965140294,0.0054151155121355,102,20
175,exp15_LNP_APOE.czi,7,2731130,7583952,29555754,231070,89360,4255.238095238095,0.3867226381615961,0.032719057679422,205,21
176,exp15_LNP_APOE.czi,8,1357121,3076693,2054679,1475,148,148.0,0.1003389830508474,0.0001090543879285,3,1
177,exp15_LNP_APOE.czi,9,1582512,3551968,7408476,37156,8523,1420.5,0.2293842178921304,0.005385741150778,63,6
178,exp15_LNP_APOE.czi,10,3993566,5304888,12241594,88243,18532,1684.7272727272727,0.2100109923733327,0.0046404641866442,113,11
179,exp15_LNP_APOE.czi,11,1626276,2976370,1383733,0,0,,,0.0,0,0
180,exp16_LNP_VTN.czi,0,1731104,5320983,25585223,105746,12313,513.0416666666666,0.1164393925065723,0.0071128020038079,78,24
181,exp16_LNP_VTN.czi,1,1410297,3926367,12480851,42205,2032,203.2,0.0481459542708209,0.0014408312575294,35,10
182,exp16_LNP_VTN.czi,2,1526005,4174023,15038319,84206,6793,566.0833333333334,0.0806712110775954,0.0044514926228944,58,12
183,exp16_LNP_VTN.czi,3,1785002,6124649,28432994,229175,10044,418.5,0.0438267699356387,0.00562688445167,155,24
184,exp16_LNP_VTN.czi,4,1760359,4959470,19139346,84319,13008,1000.6153846153846,0.1542712793083409,0.0073894018208785,102,13
185,exp16_LNP_VTN.czi,5,1253971,3029545,4482683,14081,957,239.25,0.0679639230168311,0.000763175543932,14,4
186,exp16_LNP_VTN.czi,6,1698461,7371268,30021079,66579,20193,721.1785714285714,0.3032938313882756,0.0118889983343744,245,28
